0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
160      2      0       2       2        1            1            0          "Holyangel Elf Helm (B)"             150     62        0              100          300        12            27             149         0             0               0      0       0       3       0       0       0       0
164      2      0       2       2        1            1            0          "Blue Eye Knight Helm"               150     228       0              100          380        145           42             0           0             0               0      0       3       0       0       0       0       0
165      2      0       2       2        1            1            0          "Blue Eye Wizard Helm"               150     209       0              100          380        42            14             0           0             0               0      3       0       0       0       0       0       0
166      2      0       2       2        1            1            0          "Blue Eye Elf Helm (A)"              150     223       0              100          380        34            75             0           0             0               0      0       0       3       0       0       0       0
167      2      0       2       2        1            1            0          "Blue Eye Summoner Helm"             150     211       0              100          380        34            11             0           0             0               0      0       0       0       0       0       3       0
169      2      0       2       2        1            1            0          "Blue Eye Lord Helm"                 150     207       0              100          380        59            15             0           0             0               0      0       0       0       0       3       0       0
170      2      0       2       2        1            1            0          "Blue Eye Fighter Helm"              150     205       0              100          380        71            0              0           0             0               0      0       0       0       0       0       0       3
172      2      0       2       2        1            1            0          "Blue Eye Elf Helm (B)"              150     148       0              100          380        12            27             149         0             0               0      0       0       3       0       0       0       0
189      2      0       2       2        1            1            0          "Silverheart Knight Helm"            150     273       0              100          380        145           42             0           0             0               0      0       3       0       0       0       0       0
190      2      0       2       2        1            1            0          "Silver Heart Wizard Helm"           150     254       0              100          380        42            14             0           0             0               0      3       0       0       0       0       0       0
191      2      0       2       2        1            1            0          "Silverheart Elf Helm (A)"           150     268       0              100          380        34            75             0           0             0               0      0       0       3       0       0       0       0
192      2      0       2       2        1            1            0          "Silverheart Summoner Helm"          150     256       0              100          380        34            11             0           0             0               0      0       0       0       0       0       3       0
194      2      0       2       2        1            1            0          "Silverheart Lord Helm"              150     252       0              100          380        59            15             0           0             0               0      0       0       0       0       3       0       0
195      2      0       2       2        1            1            0          "Silverheart Fighter Helm"           150     250       0              100          380        71            0              0           0             0               0      0       0       0       0       0       0       3
197      2      0       2       2        1            1            0          "Silverheart Elf Helm (B)"           150     193       0              100          380        12            27             149         0             0               0      0       0       3       0       0       0       0
200      2      0       2       2        1            1            0          "Frere Helm"            		       150     273       0              100          380        145           42             0           0             0               0      0       3       0       0       0       0       0
201      2      0       2       2        1            1            0          "Mamticore Knight Helm"              150 	   318 		 0 		        100 		 380 		145 		  42 		     0 		     0 		       0 		       0 	  0 	  3 	  0 	  0 	  0 	  0 	  0
202      2      0       2       2        1            1            0          "Mamticore Wizard Helm"              150 	   299 		 0 		        100 		 380 		42 		      14 		     0 		     0 		       0 		       0 	  3 	  0 	  0 	  0 	  0 	  0 	  0
203      2      0       2       2        1            1            0          "Mamticore Elf Helm (A)"             150 	   313 		 0 		        100 		 380 		34 		      75 		     0 		     0 		       0 		       0 	  0 	  0 	  3 	  0 	  0 	  0 	  0
204      2      0       2       2        1            1            0          "Mamticore Summoner Helm"            150 	   301 		 0 		        100 		 380 		34 		      11 		     0 		     0 		       0 		       0 	  0 	  0 	  0 	  0 	  0 	  3 	  0
206      2      0       2       2        1            1            0          "Mamticore Lord Helm"                150 	   297 		 0 		        100 		 380 		59 		      15 		     0 		     0 		       0 		       0 	  0 	  0 	  0 	  0 	  3 	  0 	  0
207      2      0       2       2        1            1            0          "Mamticore Fighter Helm"             150 	   295 		 0 		        100 		 380 		71 		      0 		     0 		     0 		       0 		       0 	  0 	  0 	  0 	  0 	  0 	  0 	  3 
end                                                                                                                                                                                                                                                       

8
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        3      0       2       2        1            1            1          "Bronze Armor"                       18      14        0              34           0          80            20             0           0             0               0      0       1       0       1       1       0       0
1        3      0       2       3        1            1            1          "Dragon Armor"                       59      37        0              68           0          120           30             0           0             0               0      0       1       0       1       0       0       0
2        3      0       2       2        1            1            1          "Pad Armor"                          10      7         0              28           0          30            0              0           0             0               0      1       0       0       1       0       0       0
3        3      0       2       2        1            1            1          "Legendary Armor"                    56      22        0              42           0          40            0              0           0             0               0      1       0       0       1       0       0       0
4        3      0       2       2        1            1            1          "Bone Armor"                         22      13        0              30           0          40            0              0           0             0               0      1       0       0       1       0       0       0
5        3      0       2       3        1            1            1          "Leather Armor"                      10      10        0              30           0          80            0              0           0             0               0      0       1       0       1       1       0       0
6        3      0       2       2        1            1            1          "Scale Armor"                        28      18        0              40           0          110           0              0           0             0               0      0       1       0       1       1       0       1
7        3      0       2       3        1            1            1          "Sphinx Armor"                       38      17        0              36           0          40            0              0           0             0               0      1       0       0       1       0       0       0
8        3      0       2       2        1            1            1          "Brass Armor"                        38      22        0              44           0          100           30             0           0             0               0      0       1       0       1       0       0       1
9        3      0       2       2        1            1            1          "Plate Armor"                        48      30        0              50           0          130           0              0           0             0               0      0       1       0       1       0       0       1
10       3      0       2       2        1            1            1          "Vine Armor"                         10      8         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0       0
11       3      0       2       2        1            1            1          "Silk Armor"                         20      12        0              26           0          30            70             0           0             0               0      0       0       1       0       0       0       0
12       3      0       2       2        1            1            1          "Wind Armor"                         32      16        0              32           0          30            80             0           0             0               0      0       0       1       0       0       0       0
13       3      0       2       2        1            1            1          "Spirit Armor"                       44      21        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0       0
14       3      0       2       2        1            1            1          "Guardian Armor"                     57      29        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0       0
15       3      0       2       3        1            1            1          "Storm Crow Armor"                   80      44        0              80           0          150           70             0           0             0               0      0       0       0       1       0       0       0
16       3      0       2       3        1            1            1          "Black Dragon Armor"                 90      48        0              74           0          170           60             0           0             0               0      0       1       0       0       0       0       0
17       3      0       2       3        1            1            1          "Dark Phoenix Armor"                 100     63        0              80           0          214           65             0           0             0               0      0       2       0       0       0       0       0
18       3      0       2       3        1            1            1          "Grand Soul Armor"                   91      33        0              67           0          59            20             0           0             0               0      2       0       0       0       0       0       0
19       3      0       2       2        1            1            1          "Divine Armor"                       92      44        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0       0
20       3      0       2       3        1            1            1          "Thunder Hawk Armor"                 107     60        0              82           0          170           70             0           0             0               0      0       0       0       1       0       0       0
21       3      0       2       3        1            1            1          "Great Dragon Armor"                 126     75        0              86           0          200           58             0           0             0               0      0       2       0       0       0       0       0
22       3      0       2       3        1            1            1          "Dark Soul Armor"                    122     43        0              75           0          55            18             0           0             0               0      2       0       0       0       0       0       0
23       3      0       2       3        1            1            1          "Hurricane Armor"                    128     73        0              90           0          162           66             0           0             0               0      0       0       0       1       0       0       0
24       3      0       2       2        1            1            1          "Red Sprit Armor"                    109     55        0              80           0          52            115            0           0             0               0      0       0       2       0       0       0       0
25       3      0       2       3        1            1            1          "Light Plate Armor"                  62      25        0              42           0          70            20             0           0             0               0      0       0       0       0       1       0       0
26       3      0       2       3        1            1            1          "Adamantine Armor"                   78      36        0              56           0          77            21             0           0             0               0      0       0       0       0       1       0       0
27       3      0       2       3        1            1            1          "Dark Steel Armor"                   96      43        0              70           0          84            22             0           0             0               0      0       0       0       0       1       0       0
28       3      0       2       3        1            1            1          "Dark Master Armor"                  117     51        0              78           0          80            21             0           0             0               0      0       0       0       0       1       0       0
29       3      0       2       3        1            1            1          "Dragon Knight Armor"                140     88        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0       0
30       3      0       2       3        1            1            1          "Venom Mist Armor"                   146     57        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0       0
31       3      0       2       3        1            1            1          "Sylphid Ray Armor"                  146     68        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0       0
32       3      0       2       3        1            1            1          "Volcano Armor"                      147     86        0              95           380        145           60             0           0             0               0      0       0       0       1       0       0       0
33       3      0       2       3        1            1            1          "Sunlight Armor"                     147     64        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0       0
34       3      0       2       3        1            1            1          "Ashcrow Armor"                      75      42        0              72           0          160           50             0           0             0               0      0       1       0       0       0       0       0
35       3      0       2       3        1            1            1          "Eclipse Armor"                      75      27        0              54           0          53            12             0           0             0               0      1       0       0       0       0       0       0
36       3      0       2       3        1            1            1          "Iris Armor"                         75      36        0              59           0          50            70             0           0             0               0      0       0       1       0       0       0       0
37       3      0       2       3        1            1            1          "Valiant Armor"                      105     52        0              81           0          155           50             0           0             0               0      0       0       0       1       0       0       0
38       3      0       2       3        1            1            1          "Glorious Armor"                     105     47        0              74           0          80            21             0           0             0               0      0       0       0       0       1       0       0
39       3      0       2       2        1            1            1          "Violent Wind Armor"                 34      22        0              36           0          39            0              0           0             0               0      0       0       0       0       0       1       0
40       3      0       2       2        1            1            1          "Red Wing Armor"                     56      28        0              42           0          35            8              0           0             0               0      0       0       0       0       0       1       0
41       3      0       2       2        1            1            1          "Ancient Armor"                      75      35        0              54           0          52            16             0           0             0               0      0       0       0       0       0       1       0
42       3      0       2       2        1            1            1          "Demonic Armor"                      91      45        0              67           0          60            20             0           0             0               0      0       0       0       0       0       2       0
43       3      0       2       2        1            1            1          "Storm Blitz Armor"                  122     56        0              75           380        57            19             0           0             0               0      0       0       0       0       0       2       0
44       3      0       2       2        1            1            1          "Eternal Wing Armor"                 113     71        0              84           0          110           50             0           0             0               0      0       0       0       0       0       2       0
45       3      0       2       3        1            1            1          "Titan Armor"                        132     81        0              86           380        222           32             0           0             0               0      0       1       0       0       0       0       0
46       3      0       2       3        1            1            1          "Brave Armor"                        128     62        0              86           380        74            162            0           0             0               0      0       1       0       0       0       0       0
47       3      0       2       3        1            1            1          "Phantom Armor"                      131     80        0              86           380        212           57             0           0             0               0      0       0       0       1       0       0       0
48       3      0       2       3        1            1            1          "Destroy Armor"                      125     66        0              86           380        62            19             165         0             0               0      0       0       0       1       0       0       0
49       3      0       2       2        1            1            1          "Seraphim Armor"                     129     60        0              86           380        55            197            0           0             0               0      0       0       1       0       0       0       0
50       3      0       2       2        1            1            1          "Divine Armor"                       122     52        0              86           380        32            29             138         0             0               0      0       0       1       0       0       0       0
51       3      0       2       3        1            1            1          "Royal Armor"                        132     58        0              86           380        105           38             0           0             0               0      0       0       0       0       1       0       0
52       3      0       2       3        1            1            1          "Hades Armor"                        129     50        0              86           380        60            15             181         0             0               0      1       0       0       0       0       0       0
53       3      0       2       2        1            1            0          "Queen Armor"                        148     58        0              90           380        56            19             157         0             0               0      0       0       0       0       0       3       0
54       3      0       2       3        1            1            0          "Lazy Wind Armor"                    148     79        0              90           380        67            151            0           0             0               0      0       3       0       0       0       0       0
55       3      0       2       3        1            1            0          "Dark Devil Armor"                   148     59        0              90           380        45            13             171         0             0               0      3       0       0       0       0       0       0
56       3      0       2       2        1            1            0          "Sticky Armor"                       148     69        0              90           380        48            180            0           0             0               0      0       0       3       0       0       0       0
57       3      0       2       3        1            1            0          "Hell Night Armor"                   148     89        0              90           380        194           52             0           0             0               0      0       0       0       3       0       0       0
58       3      0       2       3        1            1            0          "Ambition Armor"                     148     67        0              90           380        112           22             0           0             0               0      0       0       0       0       3       0       0
59       3      0       2       3        1            1            1          "Sacred Armor"                       66      43        0              52           0          85            0              0           75            0               0      0       0       0       0       0       0       1
60       3      0       2       3        1            1            1          "Storm Hard Armor"                   82      51        0              68           0          100           0              0           90            0               0      0       0       0       0       0       0       1
61       3      0       2       3        1            1            1          "Piercing Armor"                     101     59        0              82           0          115           0              0           100           0               0      0       0       0       0       0       0       1
62       3      0       2       2        0            0	           0	      "Lucky Scale Armor"	               28	   21	     0	            255	         1	        0	          0	         0	     0	           0	           0	  0	  1	  0	  0	  1	  0	  1	
63       3      0       2       2        0            0	           0	      "Lucky Silk Armor"	               20	   14	     0	            255	         1	        0	          0	         0	     0	           0	           0	  0	  0	  1	  0	  0	  0	  0	
64       3      0       2       3        0            0	           0	      "Lucky Sphinx Armor"	               38	   19	     0	            255	         1	        0	          0	         0	     0	           0	           0	  1	  0	  0	  1	  0	  0	  0	
65       3      0       2       2        0            0	           0	      "Lucky Violent Wind Armor"	       34	   26	     0	            255	         1	        0	          0	         0	     0	           0	           0	  0	  0	  0	  0	  0	  1	  0	
66       3      0       2       3        0            0	           0	      "Lucky Dark Soul Armor"	           78	   39	     0	            255	         150	    0	          0	         0	     0	           0	           0	  0	  0	  0	  0	  1	  0	  0	
67       3      0       2       3        0            0	           0	      "Lucky Dragon Armor"	               59	   42	     0	            255	         150	    0	          0	         0	     0	           0	           0	  0	  1	  0	  0	  0	  0	  0	
68       3      0       2       2        0            0	           0	      "Lucky Guardian Armor"	           57	   29	     0	            255	         150	    0	          0	         0	     0	           0	           0	  0	  0	  1	  0	  0	  0	  0	
69       3      0       2       2        0            0	           0	      "Lucky Legendary Armor"	           56	   24	     0	            255	         150	    0	          0	         0	     0	           0	           0	  1	  0	  0	  0	  0	  0	  0	
70       3      0       2       2        0            0	           0	      "Lucky Red Wing Armor"	           56	   31	     0	            255	         150	    0	          0	         0	     0	           0	           0	  0	  0	  0	  0	  0	  1	  0	
71       3      0       2       3        0            0	           0	      "Lucky Atlans Armor"	           	   80	   47	     0	            255	         150	    0	          0	         0	     0	           0	           0	  0	  0	  0	  1	  0	  0	  0	
72       3      0       2       3        0            0	           0	      "Lucky Storm Hard Armor"	           82	   43	     0	            255	         150	    0	          0	         0	     0	           0	           0	  0	  0	  0	  0	  0	  0	  1	
73       3      0       2       3        1            1	           1	      "Phoenix Soul Armor"	           	   143	   78	     0	            88	         380	    97	          0	         0	     85	           0	           0	  0	  0	  0	  0	  0	  0	  1	
74       3      0       2       3        1            1            0          "Stormwing Armor"                    148     90        0              90           380        200           33             0           0             0               0      0       3       0       0       0       0       0
75       3      0       2       2        1            1            0          "Light Lord Armor"                   148     61        0              90           380        14            31             127         0             0               0      0       0       3       0       0       0       0
76       3      0       2       3        1            1            0          "Magic Knight Armor"                 148     75        0              90           380        48            17             142         0             0               0      0       0       0       3       0       0       0
77       3      0       2       2        1            1            0          "Succubus Armor"                     148     58        0              90           380        56            19             157         0             0               0      0       0       0       0       0       3       0
98       3      0       2       3        1            1            0          "Bloodangel Knight Armor"            150     85        0              100          200        174           51             0           0             0               0      0       3       0       0       0       0       0
99       3      0       2       3        1            1            0          "Bloodangel Wizard Armor"            150     53        0              100          200        46            15             0           0             0               0      3       0       0       0       0       0       0
100      3      0       2       2        1            1            0          "Bloodangel Elf Armor (A)"           150     65        0              100          200        39            87             0           0             0               0      0       0       3       0       0       0       0
101      3      0       2       2        1            1            0          "Bloodangel Summoner Armor"          150     55        0              100          200        38            13             0           0             0               0      0       0       0       0       0       3       0
102      3      0       2       3        1            1            0          "Bloodangel Magic Armor (A)"         150     83        0              100          200        143           58             0           0             0               0      0       0       0       3       0       0       0
103      3      0       2       3        1            1            0          "Bloodangel Lord Armor"              150     61        0              100          200        65            17             0           0             0               0      0       0       0       0       3       0       0
104      3      0       2       3        1            1            0          "Bloodangel Fighter Armor"           150     66        0              100          200        81            0              0           0             0               0      0       0       0       0       0       0       3
106      3      0       2       3        1            1            0          "Awakening Soul Knight Armor"        150     204       0              100          350        174           51             0           0             0               0      0       3       0       0       0       0       0
107      3      0       2       3        1            1            0          "Awakening Soul Wizard Armor"        150     172       0              100          350        46            15             0           0             0               0      3       0       0       0       0       0       0
108      3      0       2       2        1            1            0          "Awakening Soul Elf Armor (A)"       150     184       0              100          350        39            87             0           0             0               0      0       0       3       0       0       0       0
109      3      0       2       2        1            1            0          "Awakening Soul Summoner Armor"      150     177       0              100          350        38            13             0           0             0               0      0       0       0       0       0       3       0
110      3      0       2       3        1            1            0          "Awakening Soul Magic Armor (A)"     150     203       0              100          350        143           58             0           0             0               0      0       0       0       3       0       0       0
111      3      0       2       3        1            1            0          "Awakening Soul Lord Armor"          150     181       0              100          350        65            17             0           0             0               0      0       0       0       0       3       0       0
112      3      0       2       3        1            1            0          "Awakening Soul Fighter Armor"       150     186       0              100          350        81            0              0           0             0               0      0       0       0       0       0       0       3
114      3      0       2       2        1            1            0          "Awakening Soul Elf Armor (B)"       150     110       0              100          350        14            28             154         0             0               0      0       0       3       0       0       0       0
115      3      0       2       3        1            1            0          "Awakening Soul Magic Armor (B)"     150     200       0              100          350        35            32             157         0             0               0      0       0       0       3       0       0       0
138      3      0       2       3        1            1            0          "Darkangel Knight Armor"             150     110       0              100          250        174           51             0           0             0               0      0       3       0       0       0       0       0
139      3      0       2       3        1            1            0          "Darkangel Wizard Armor"             150     78        0              100          250        46            15             0           0             0               0      3       0       0       0       0       0       0
140      3      0       2       2        1            1            0          "Darkangel Elf Armor (A)"            150     90        0              100          250        39            87             0           0             0               0      0       0       3       0       0       0       0
141      3      0       2       2        1            1            0          "Darkangel Summoner Armor"           150     80        0              100          250        38            13             0           0             0               0      0       0       0       0       0       3       0
142      3      0       2       3        1            1            0          "Darkangel Magic Armor (A)"          150     108       0              100          250        143           58             0           0             0               0      0       0       0       3       0       0       0
143      3      0       2       3        1            1            0          "Darkangel Lord Armor"               150     86        0              100          250        65            17             0           0             0               0      0       0       0       0       3       0       0
144      3      0       2       3        1            1            0          "Darkangel Fighter Armor"            150     91        0              100          250        81            0              0           0             0               0      0       0       0       0       0       0       3
146      3      0       2       2        1            1            0          "Tigris Armor"                       111     63        0              86           380        70            22             0           0             0               0      0       0       0       0       0       0       3
147      3      0       2       2        1            1            0          "Crimson Skull Armor"                143     71        0              90           380        79            25             0           0             0               0      0       0       0       0       0       0       3
150      3      0       2       3        1            1            0          "Holyangel Knight Armor"             150     160       0              100          300        174           51             0           0             0               0      0       3       0       0       0       0       0
151      3      0       2       3        1            1            0          "Holyangel Wizard Armor"             150     128       0              100          300        46            15             0           0             0               0      3       0       0       0       0       0       0
152      3      0       2       2        1            1            0          "Holyangel Elf Armor (A)"            150     140       0              100          300        39            87             0           0             0               0      0       0       3       0       0       0       0
153      3      0       2       2        1            1            0          "Holyangel Summoner Armor"           150     130       0              100          300        38            13             0           0             0               0      0       0       0       0       0       3       0
154      3      0       2       3        1            1            0          "Holyangel Magic Armor (A)"          150     158       0              100          300        143           58             0           0             0               0      0       0       0       3       0       0       0
155      3      0       2       3        1            1            0          "Holyangel Lord Armor"               150     136       0              100          300        65            17             0           0             0               0      0       0       0       0       3       0       0
156      3      0       2       3        1            1            0          "Holyangel Fighter Armor"            150     141       0              100          300        81            0              0           0             0               0      0       0       0       0       0       0       3
158      3      0       2       2        1            1            0          "Bloodangel Elf Armor (B)"           150     37        0              100          400        14            28             154         0             0               0      0       0       3       0       0       0       0
159      3      0       2       2        1            1            0          "Darkangel Elf Armor (B)"            150     50        0              100          600        14            28             154         0             0               0      0       0       3       0       0       0       0
160      3      0       2       2        1            1            0          "Holyangel Elf Armor (B)"            150     69        0              100          800        14            28             154         0             0               0      0       0       3       0       0       0       0
161      3      0       2       3        1            1            0          "Bloodangel Magic Armor (B)"         150     80        0              100          400        35            32             157         0             0               0      0       0       0       3       0       0       0
162      3      0       2       3        1            1            0          "Darkangel Magic Armor (B)"          150     105       0              100          600        35            32             157         0             0               0      0       0       0       3       0       0       0
163      3      0       2       3        1            1            0          "Holyangel Magic Armor (B)"          150     155       0              100          800        35            32             157         0             0               0      0       0       0       3       0       0       0
164      3      0       2       3        1            1            0          "Blue Eye Knight Armor"              150     249       0              100          380        174           51             0           0             0               0      0       3       0       0       0       0       0
165      3      0       2       3        1            1            0          "Blue Eye Wizard Armor"              150     217       0              100          380        46            15             0           0             0               0      3       0       0       0       0       0       0
166      3      0       2       2        1            1            0          "Blue Eye Elf Armor (A)"             150     229       0              100          380        39            87             0           0             0               0      0       0       3       0       0       0       0
167      3      0       2       2        1            1            0          "Blue Eye Summoner Armor"            150     222       0              100          380        38            13             0           0             0               0      0       0       0       0       0       3       0
168      3      0       2       3        1            1            0          "Blue Eye Magic Armor (A)"           150     248       0              100          380        143           58             0           0             0               0      0       0       0       3       0       0       0
169      3      0       2       3        1            1            0          "Blue Eye Lord Armor"                150     226       0              100          380        65            17             0           0             0               0      0       0       0       0       3       0       0
170      3      0       2       3        1            1            0          "Blue Eye Fighter Armor"             150     231       0              100          380        81            0              0           0             0               0      0       0       0       0       0       0       3
172      3      0       2       2        1            1            0          "Blue Eye Elf Armor  (B)"            150     155       0              100          380        14            28             154         0             0               0      0       0       3       0       0       0       0
173      3      0       2       3        1            1            0          "Blue Eye Magic Armor (B)"           150     245       0              100          380        35            32             157         0             0               0      0       0       0       3       0       0       0
189      3      0       2       3        1            1            0          "Silverheart Knight Armor"           150     294       0              100          380        174           51             0           0             0               0      0       3       0       0       0       0       0
190      3      0       2       3        1            1            0          "Silverheart Wizard Armor"           150     262       0              100          380        46            15             0           0             0               0      3       0       0       0       0       0       0
191      3      0       2       2        1            1            0          "Silverheart Elf Armor (A)"          150     274       0              100          380        39            87             0           0             0               0      0       0       3       0       0       0       0
192      3      0       2       2        1            1            0          "Silverheart Summoner Armor"         150     267       0              100          380        38            13             0           0             0               0      0       0       0       0       0       3       0
193      3      0       2       3        1            1            0          "Silverheart Magic Armor (A)"        150     293       0              100          380        143           58             0           0             0               0      0       0       0       3       0       0       0
