//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
450       0      40    220    15     235     30      0            0           0          1000       *          *          0
451       0      40    220    15     235     30      0            0           0          1000       *          *          0
452       0      40    220    15     235     30      0            0           0          1000       *          *          0
453       0      40    220    15     235     30      0            0           0          1000       *          *          0
454       0      40    220    15     235     30      0            0           0          1000       *          *          0
455       0      40    220    15     235     30      0            0           0          1000       *          *          0
456       0      40    220    15     235     30      0            0           0          1000       *          *          0
457       0      40    220    15     235     30      0            0           0          1000       *          *          0
//================================================================================================================================================
// TEAM VS TEAM EVENT
//================================================================================================================================================
//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
458       0      82    110    143    110     143     0            0           0          1000       *          *          0 
459       0      82    018    016    018     016     0            0           0          1000       *          *          0
460       0      82    059    048    059     048     0            0           0          1000       *          *          0
//================================================================================================================================================
// NEW MAPS
//================================================================================================================================================
461       0      85    232    151    237     145     0            0           250        1000       *          *          0 //FEREA
462       0      84    029    119    029     119     0            0           250        1000       *          *          0 //NIXIES LAKE
463       0      83    129    122    139     110     0            0           250        1000       *          *          0 //SWAMP OF DARKNESS
465       0      89    052    189    061     207     0            0           300        1000       *          *          0 //Acheron
//================================================================================================================================================
// GUILD VS GUILD EVENT
//================================================================================================================================================
466       0      82    110    143    110     143     0            0           0          1000       *          *          0 //GVG MAP EVENT AGUARDAR
467       0      82    018    016    018     016     0            0           0          1000       *          *          0 //GVG MAP EVENT GUILD 1
468       0      82    015    043    015     043     0            0           0          1000       *          *          0 //GVG MAP EVENT GUILD 2
469       0      82    035    061    035     061     0            0           0          1000       *          *          0 //GVG MAP EVENT GUILD 3
470       0      82    059    048    059     048     0            0           0          1000       *          *          0 //GVG MAP EVENT GUILD 4
471       0      82    050    023    050     023     0            0           0          1000       *          *          0 //GVG MAP EVENT GUILD 5

//================================================================================================================================================													
//	ACHERON ARKA WAR												
//================================================================================================================================================
472	1	92	82	204	86	205	473	0	250	*	*	*	0
473	2	92	216	172	216	172	0	0	250	*	*	*	0

//================================================================================================================================================
// NEW MAPS
//================================================================================================================================================
487       0      86    212    192    212     192     0            0           250        1000       *          *          0 //NARS
488       0      87    225    118    239     117     0            0           250        1000       *          *          0 //KUBERA MINE
489       0      88    021    087    021     087     0            0           250        1000       *          *          0 //URK MOUNTAIN
//================================================================================================================================================													
//	Deep Dungeon												
//================================================================================================================================================													
//Index	Flag	MapN   MapSX  MapSY  MapTX   MapTY   TargetGate	  TargetDir   MinLevel	 MaxLevel   MinReset   MaxReset	  AccountLevel
490       0     91     123    124    128     116     0            0           400        1000       *          *          0 //Deep Dungeon 1
491       0     91     016    085    016     085     0            0           400        1000       *          *          0 //Deep Dungeon 2
492       0     91     088    227    088     227     0            0           400        1000       *          *          0 //Deep Dungeon 3
493       0     91     235    174    235     174     0            0           400        1000       *          *          0 //Deep Dungeon 4
494       0     91     240    041    240     041     0            0           400        1000       *          *          0 //Deep Dungeon 5
//================================================================================================================================================													
//	Raklion - Nixies											
//================================================================================================================================================													
495	1	57	209	219	211	219	496	3	250	1000	*	*	0
496	2	84	17	118	19	121	0	1	250	1000	*	*	0
//================================================================================================================================================													
//	OUTROS GATES 2												
//================================================================================================================================================
497	2	57	209	217	211	217	0	3	250	*	*	*	0
498	2	8	178	41	178	41	0	0	250	1000	*	*	0
499	1	2	159	55	160	59	444	3	250	1000	*	*	0
500	1	8	176	40	177	41	386	0	250	1000	*	*	0

//================================================================================================================================================													
//	Atlans Abyss												
//================================================================================================================================================
550       0      93    122    124    133     122     0            0           400        1000       *          *          0 //Atlans Abyss 1
551       0      93    080    218    080     218     0            0           400        1000       *          *          0 //Atlans Abyss 2
552       0      93    218    046    218     046     0            0           400        1000       *          *          0 //Atlans Abyss 3


//================================================================================================================================================													
// [NH SERVERS UPDATE JUNE]	Scotch Canyon											
//================================================================================================================================================
553       0      94    235    013    240     013     0            0           400        1000       *          *          0




//================================================================================================================================================													
//	DEAD GATES												
//================================================================================================================================================
601       0      83    129    122    139     110     0            0           250        1000       *          *          0 //SWAMP OF DARKNESS DEAD
602       0      84    029    119    029     119     0            0           250        1000       *          *          0 //NIXIES LAKE DEAD
603       0      85    231    151    237     143     0            0           250        1000       *          *          0 //FEREA DEAD
604       0      86    212    192    212     192     0            0           250        1000       *          *          0 //NARS DEAD
605       0      87    225    118    239     117     0            0           260        1000       *          *          0 //KUBERA MINE DEAD
606       0      88    021    087    021     087     0            0           250        1000       *          *          0 //URK MOUNTAIN DEAD
607       0      89    062    200    062     200     0            0           300        1000       *          *          0 //ACHERON DEAD
609       0      91    126    119    126     119     0            0           400        1000       *          *          0 //DEEP DUNGEON DEAD
610       0      92    061    201    061     201     0            0           250        1000       *          *          0 //ACHERON EVENT DEAD
611       0      93    122    124    133     122     0            0           400        1000       *          *          0 //ATLANS ABYSS


// [NH SERVERS UPDATE JUNE]
612       0      94    235    013    240     013     0            0           400        1000       *          *          0 //Scotch Canyon	
end
